sku,linhas_uplift,real_total,base_total,uplift_total,erro_base,erro_uplift,delta_erro,delta_pct
2387563,479,346213.0,327121.5287528006,336274.01743145526,19091.4712471994,9938.982568544743,-9152.488678654656,-0.47940195703865773
2419775,20,4979.0,4015.0513586767015,4287.693789093169,963.9486413232985,691.3062109068314,-272.64243041646705,-0.2828391666616039
2419782,5,1610.0,1031.536638983879,1060.2410645085188,578.4633610161211,549.7589354914812,-28.704425524639873,-0.04962185586692657
2419784,15,2623.0,1832.235638971304,2207.3342122485515,790.7643610286959,415.66578775144853,-375.0985732772474,-0.4743493659593942
2419786,15,1419.0,874.5891401567177,1156.6834804741184,544.4108598432823,262.31651952588163,-282.0943403174007,-0.5181644252993157
2419815,552,249622.0,235807.95905340536,247592.47259753032,13814.040946594643,2029.5274024696846,-11784.513544124959,-0.8530822798111083
2419834,81,8549.0,9549.523255813952,10016.743558892693,1000.5232558139523,1467.7435588926928,467.22030307874047,0.4669759551952086
2419841,15,4855.0,3685.756763399029,3962.309084837793,1169.2432366009712,892.6909151622071,-276.552321438764,-0.23652248974534226
2419847,43,7632.0,5537.53166485442,7544.762402667845,2094.4683351455797,87.23759733215502,-2007.2307378134246,-0.9583485718698672
2419851,38,5134.0,3471.6030603917047,3907.290447037638,1662.3969396082953,1226.709552962362,-435.6873866459332,-0.26208384788568767
2419856,35,16059.0,11571.183673659962,13425.671915667472,4487.816326340038,2633.3280843325283,-1854.48824200751,-0.4132273041396741
2419858,552,268569.0,252039.7820093774,268836.7380873908,16529.217990622594,267.7380873907823,-16261.479903231811,-0.9838021322277511
2422005,557,460744.0,425290.088410861,460271.31221536483,35453.911589139025,472.68778463517083,-34981.223804503854,-0.9866675420722837
2422008,18,13675.0,7825.7797619047615,8050.703808724348,5849.2202380952385,5624.296191275652,-224.9240468195867,-0.038453680604242695
2422015,549,47593.0,43549.30439418699,47251.88389391439,4043.695605813009,341.1161060856102,-3702.579499727399,-0.9156424866413685
2460042,161,23660.0,13958.354678331378,17370.79450999331,9701.645321668622,6289.2054900066905,-3412.4398316619317,-0.35173825866837743
2460044,126,18820.0,10541.85054945055,14691.647805651193,8278.14945054945,4128.352194348807,-4149.7972562006435,-0.5012952811482773
2460046,56,5365.0,2956.5720906734614,3370.4861421226833,2408.4279093265386,1994.5138578773167,-413.9140514492219,-0.17186067718546055
2460048,228,42636.0,20591.87274885309,25812.314945052007,22044.12725114691,16823.685054947993,-5220.442196198917,-0.2368178216684586
2460050,159,21827.0,10644.635714285714,13809.536851597742,11182.364285714286,8017.4631484022575,-3164.9011373120284,-0.28302611652128506
2460052,114,10093.0,5148.967167276408,6929.7074244601135,4944.032832723592,3163.2925755398865,-1780.7402571837056,-0.3601796989286422
2464423,13,451.0,376.81330299620373,468.3267637129095,74.18669700379627,17.326763712909496,-56.85993329088677,-0.7664437909666897
2464424,58,1610.0,1406.655266658735,3314.843749877057,203.34473334126506,1704.8437498770568,1501.4990165357917,7.384007403899112
2464426,242,4382.0,4704.500332624473,6188.27229847157,322.50033262447323,1806.2722984715701,1483.771965847097,4.600838559676262
2464427,53,1514.0,1077.7245984869792,1799.958485219435,436.2754015130208,285.95848521943503,-150.3169162935858,-0.3445459353708245
2466149,571,158313.0,145986.50114476783,167264.3112444649,12326.498855232174,8951.311244464887,-3375.187610767287,-0.27381559438790976
2466151,559,22581.0,31271.508265159293,39585.51269768276,8690.508265159293,17004.51269768276,8314.004432523467,0.9566764312111352
2466155,25,1062.0,951.0065718595131,3239.3356611171707,110.99342814048691,2177.3356611171707,2066.3422329766836,18.61679801763819
2466157,572,244802.0,230697.7827229325,249782.2525758061,14104.21727706751,4980.252575806109,-9123.9647012614,-0.6468962099794323
2466160,563,86551.0,89212.15280129055,97247.32537805517,2661.1528012905474,10696.325378055175,8035.172576764628,3.0194329964321875
2466173,4,809.0,368.6912162162162,390.52777538347635,440.3087837837838,418.47222461652365,-21.836559167260134,-0.04959373960157721
2466179,66,10133.0,6938.770391912478,7395.57812493546,3194.229608087522,2737.4218750645396,-456.8077330229826,-0.14301029953087394
2490066,94,1934.0,1884.5848334333025,3349.983289462113,49.41516656669751,1415.9832894621131,1366.5681228954156,27.654831863227805
2490067,158,3537.0,3452.8251397056697,6693.855477038451,84.1748602943303,3156.8554770384508,3072.6806167441205,36.50354281551549
2490069,160,2735.0,2670.2806840954586,8224.432778270542,64.71931590454142,5489.432778270542,5424.713462366,83.8190791504541
2540392,33,1495.0,1775.0054945054944,2510.8124207168125,280.0054945054944,1015.8124207168125,735.8069262113181,2.627830312797236
2540422,16,662.0,750.3454545454546,930.0815053695517,88.34545454545457,268.0815053695517,179.7360508240971,2.0344685728185508
2611259,25,478.0,682.8703349282297,1130.9901888692004,204.87033492822968,652.9901888692004,448.11985394097076,2.1873340232394134
2639581,236,61574.0,60600.78454752102,82583.72600469326,973.2154524789803,21009.726004693264,20036.510552214284,20.587949462965433
2639582,552,115157.0,103511.97963811365,115839.99093217243,11645.020361886345,682.9909321724263,-10962.029429713919,-0.9413490993620048
2639583,568,197246.0,191294.04890302088,212541.20344476053,5951.951096979115,15295.203444760526,9343.25234778141,1.5697797571830745
2742119,71,15727.0,8780.32554945055,9398.546859766611,6946.67445054945,6328.453140233389,-618.2213103160611,-0.08899529043960923
2791357,550,29186.0,26225.168585858584,29691.713396491494,2960.8314141414157,505.71339649149377,-2455.118017649922,-0.8291988547283969
2791360,567,76221.0,69627.33156140524,84048.50316717707,6593.668438594759,7827.50316717707,1233.834728582311,0.18712416920455066
