sku,n_obs,rank_modelo,dof_modelo,elasticidade_preco,p_value_preco,semi_elasticidade_desconto,p_value_desconto,semi_elast_desc_0_10,p_value_desc_0_10,semi_elast_desc_10_30,p_value_desc_10_30,semi_elast_desc_30_plus,p_value_desc_30_plus,preco_medio,desconto_medio,q_media,share_dias_stockout_base,std_log_preco,pass_obs,pass_var_preco,pass_p_preco,pass_range_preco,quality_score
31027529507,285,23,262,65.91875049233492,0.040298085835958286,-73.9160230084448,0.03595749677019433,32.566666882854854,0.24687380126308467,31.89456927532341,0.2979748920953531,1.2829737272568309e-12,0.977579841578855,2.6081231004561403,-0.09753525936117417,17.985964912280703,0.5736235595390525,0.044329070461282025,True,True,True,False,3
2418816,281,23,258,1.0055582057654775,0.43544762370310286,-1.3377055032955565,0.34113902205927404,,,,,,,28.773627274266904,-0.11615793348209753,2.4448398576512456,0.21638924455825864,0.06496391425298072,True,True,False,True,3
2753038,280,23,257,0.23149985885252852,0.42708288315220644,-0.24450233614417555,0.6813183713463551,,,,,,,29.862731222746426,-0.14861527818240433,2.492857142857143,0.1523687580025608,0.22547045670349974,True,True,False,True,3
2639586,277,22,255,-10.953766141367499,0.002821034631581787,10.486675912139455,0.02825627530264274,,,,,,,4.301963858700361,-0.10152469505706505,18.36101083032491,0.5953905249679897,0.1194886879947142,True,True,True,False,3
2545250,275,23,252,-1.2251763554169421,0.02653630468189072,0.016684118466801824,0.9811084104063297,,,,,,,73.45866751934909,-0.11052608710939002,2.1745454545454543,0.1203585147247119,0.14240652070556906,True,True,True,True,4
31027547416,274,21,253,-0.2166973497202008,0.39145017489350487,-1.1486115327124768,0.033156254487304526,,,,,,,2.208292585576642,-0.34613118756843286,335.1970802919708,0.03180212014134275,0.3062981008980217,True,True,False,True,3
31027547419,274,21,253,0.9197573380077336,0.028278535725313247,-3.7255018000686917,4.832904855645026e-06,,,,,,,2.321867333562044,-0.31431631311155145,441.3138686131387,0.028368794326241134,0.24942409025302645,True,True,True,True,4
31027547422,274,21,253,-0.16051878651284987,0.5862545742023242,-1.9195519007088357,0.004660281874555361,,,,,,,2.209257512872263,-0.34720416291463885,513.3430656934306,0.03180212014134275,0.4161220902142607,True,True,False,True,3
2676100,274,23,251,-1.3440918345842987,0.3701468589812229,-0.6583330786116092,0.697661606428323,,,,,,,10.516373912452554,-0.12070791393150762,3.0839416058394162,0.20358514724711907,0.07876053535764402,True,True,False,True,3
2490066,274,22,252,44.39218325426145,0.1412318335379914,-47.02100214545863,0.15719214509168777,8.838437236210785,0.9136823115574311,3.6600339303596083,0.9678660906489538,1.936673044156123e-12,0.9999454917910144,9.51643029939416,-0.08495862506100794,21.437956204379564,0.6133162612035852,0.03817616112145267,True,True,False,False,2
31027540259,272,23,249,-5.157710105479349,0.00967035647103276,6.995617839531604,0.003158978884621799,,,,,,,17.542797312577203,-0.1437475627806472,2.9154411764705883,0.2678100263852243,0.10457269651703144,True,True,True,True,4
31027547425,272,21,251,0.05349361605122792,0.8757572380847478,-2.1503879702439277,0.005110348535011466,,,,,,,2.2595192816029415,-0.33102250520687126,281.19117647058823,0.028368794326241134,0.31083493571212106,True,True,False,True,3
31027531017,271,23,248,-1.1940429823074146,0.49359916136711957,1.9697950821004322,0.3907573274342182,,,,,,,7.888143961476016,-0.1111900739795925,5.357933579335794,0.08450704225352113,0.09769190114793985,True,True,False,True,3
