sku_anchor,sku_candidato,effect_d,uplift_pct,media_base_candidato,dias_stockout_anchor,p_value,p_value_ajustado,par_id,tem_reciproca,effect_reciproco,uplift_reciproco,score_par
2824023,3102751473,0.8850938907104532,0.9616132259931619,382.40725806451616,37,7.289618710826686e-05,0.00016240439886489437,2824023|3102751473,False,,,
2824023,3102751475,0.7054960676209449,0.9046824150440567,59.54032258064516,37,0.00065850264033297,0.001149864775011508,2824023|3102751475,False,,,
2824023,3102751483,1.1329150237293324,0.9905912738677243,73.25,37,1.3792715533980988e-06,4.61621064943598e-06,2824023|3102751483,False,,,
2824023,31027517939,0.8077845887542009,0.788607403207202,18.706989247311828,37,3.446936287861608e-05,8.396962825839916e-05,2824023|31027517939,False,,,
2824023,31027518011,0.7983083571204029,0.7465597644185179,14.901881720430108,37,2.3120413587066446e-05,5.862958121225382e-05,2824023|31027518011,False,,,
2824023,31027518017,0.6549576288316646,0.5209232951319046,14.393817204301076,37,4.189193097751668e-05,0.00010024381551141672,2824023|31027518017,False,,,
2824023,31027530258,0.6794623519335667,0.7970180403419613,116.61962365591398,37,0.0006527311139091911,0.0011411275709047742,2824023|31027530258,False,,,
2824023,31027534323,0.6271670427135915,0.6578559261375932,65.47043010752688,37,0.002430761134751351,0.0035309003384560193,2824023|31027534323,False,,,
2824023,31027534326,0.6476126607146987,0.6247712327363851,71.27822580645162,37,0.0016568965927842368,0.0025409167563234013,2824023|31027534326,False,,,
2824023,31027535078,0.7216839069233637,1.5726550079491253,10.053763440860216,37,0.000224829239910111,0.0004539351229706861,2824023|31027535078,False,,,
2824023,31027535383,0.6669349365140492,1.0560304682614987,41.538978494623656,37,0.001230791419519264,0.001977910417712204,2824023|31027535383,False,,,
2824023,31027535395,0.6576077139605556,0.7162254390185674,137.85752688172042,37,0.0014285265372082476,0.0022439645182784945,2824023|31027535395,False,,,
